gsm	title	series_id	source_name_ch1	characteristics_ch1	treatment_protocol_ch1	extract_protocol_ch1	description	supplementary_file	relevant	tissue	cell_type	disease
GSM1229453	CMP cells donor 1	GSE50797	bone marrow	"cell type: Common myeloid progenitor;	gender: female"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		CMP cells (Bone marrow)	Healthy
GSM1229454	CMP cells donor 2	GSE50797	bone marrow	"cell type: Common myeloid progenitor;	gender: male"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		CMP cells (Bone marrow)	Healthy
GSM1229455	CMP cells donor 3	GSE50797	bone marrow	"cell type: Common myeloid progenitor;	gender: male"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		CMP cells (Bone marrow)	Healthy
GSM1229456	GMP cells donor 1	GSE50797	bone marrow	"cell type: Granulocyte-macrophage progenitor;	gender: female"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		GMP cells (Bone marrow)	Healthy
GSM1229457	GMP cells donor 2	GSE50797	bone marrow	"cell type: Granulocyte-macrophage progenitor;	gender: male"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		GMP cells (Bone marrow)	Healthy
GSM1229458	GMP cells donor 3	GSE50797	bone marrow	"cell type: Granulocyte-macrophage progenitor;	gender: male"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		GMP cells (Bone marrow)	Healthy
GSM1229459	PMC cells donor 1	GSE50797	bone marrow	"cell type: peritoneal macrophages;	gender: female"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		PMC cells (Bone marrow)	Healthy
GSM1229460	PMC cells donor 2	GSE50797	bone marrow	"cell type: peritoneal macrophages;	gender: male"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		PMC cells (Bone marrow)	Healthy
GSM1229461	PMC cells donor 3	GSE50797	bone marrow	"cell type: peritoneal macrophages;	gender: male"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		PMC cells (Bone marrow)	Healthy
GSM1229462	PMN cells donor 1	GSE50797	bone marrow	"cell type: Polymorphonuclear neutrophil;	gender: female"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		PMN cells (Bone marrow)	Healthy
GSM1229463	PMN cells donor 2	GSE50797	bone marrow	"cell type: Polymorphonuclear neutrophil;	gender: male"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		PMN cells (Bone marrow)	Healthy
GSM1229464	PMN cells donor 3	GSE50797	bone marrow	"cell type: Polymorphonuclear neutrophil;	gender: male"	NA	Genomic DNA was extracted with Trizol.	cells isolated from healthy bone marrow		1		PMN cells (Bone marrow)	Healthy
